model,variable,coef,std_err,t_stat,p_value,ci_low,ci_high
FE_unadjusted,mortgage_rate_lag2,-0.0020172435388045138,0.0015595357331814877,-1.2934897840970223,0.1958529459702032,-0.005074016483255365,0.001039529405646338
FE_unadjusted,unemployment_rate_pct,0.012113778403440334,0.0006777729626819553,17.87291478182602,0.0,0.010785307365088436,0.013442249441792231
FE_unadjusted,cpi_inflation_yoy_pct,-0.0041507496578533165,0.0007734258898564132,-5.366706380392703,8.085766278753681e-08,-0.0056667055185298226,-0.00263479379717681
FE_unadjusted,beta,0.021522700482055335,0.001968870832808253,10.931494399435504,0.0,0.01766360898142711,0.02538179198268356
FE_unadjusted,btm,-0.02318466400973916,0.0013967693578463716,-16.59877765752734,0.0,-0.025922406205612217,-0.020446921813866106
FE_unadjusted,log_market_equity,0.011323370538386671,0.0013457939824807826,8.413895949745314,0.0,0.008685542788162696,0.013961198288610647
FE_unadjusted,year_2005,-0.01194810216138022,0.00407213433930442,-2.9341129652960145,0.003347880524187774,-0.019929701947594566,-0.0039665023751658725
FE_unadjusted,year_2006,0.00392672161619072,0.004255673440613921,0.9227027569164832,0.3561704968756687,-0.004414624565822573,0.012268067798204014
FE_unadjusted,year_2007,-0.03579509516442028,0.004435300208958666,-8.070501088543987,6.661338147750939e-16,-0.04448851936163572,-0.027101670967204845
FE_unadjusted,year_2008,-0.05715679042773883,0.004632941835537554,-12.337040363708129,0.0,-0.06623760271999402,-0.048075978135483644
FE_unadjusted,year_2009,-0.0471609426991399,0.005628736601596726,-8.37860181372878,0.0,-0.0581935656709143,-0.03612831972736551
FE_unadjusted,year_2010,-0.07493126735362393,0.005704612013940852,-13.135208349053,0.0,-0.08611261016725115,-0.06374992453999671
FE_unadjusted,year_2011,-0.08693078348392054,0.005754194442814095,-15.107376774950787,0.0,-0.09820931049402057,-0.07565225647382051
FE_unadjusted,year_2012,-0.0702444018376608,0.006019104030651458,-11.67024219550798,0.0,-0.08204216572293967,-0.05844663795238193
FE_unadjusted,year_2013,-0.07632320202009048,0.005906104105289189,-12.922766117810134,0.0,-0.08789948004440244,-0.06474692399577851
FE_unadjusted,year_2014,-0.047110428821112604,0.005425379610939858,-8.683342401722097,0.0,-0.057744461280416506,-0.0364763963618087
FE_unadjusted,year_2015,-0.0580984066741802,0.005984735417480914,-9.707765276386253,0.0,-0.06982880625055432,-0.04636800709780608
FE_unadjusted,year_2016,-0.03461166966046659,0.005932429210817265,-5.8343165051772115,5.463683061535107e-09,-0.04623954629109832,-0.022983793029834863
FE_unadjusted,year_2017,-0.03451131634649681,0.0055280748936826635,-6.242917654016487,4.359672622911148e-10,-0.045346637019422174,-0.023675995673571447
FE_unadjusted,year_2018,-0.036750290325321906,0.005251909825017229,-6.997509772590459,2.667199794359476e-12,-0.047044312782286046,-0.026456267868357763
FE_unadjusted,year_2019,-0.010388297941628358,0.0056858178158258315,-1.8270543091819975,0.06770280213484137,-0.021532803127820493,0.0007562072445637755
FE_unadjusted,year_2020,-0.08519427619473294,0.0063899909830447904,-13.332456402643999,0.0,-0.09771899822364662,-0.07266955416581926
FE_unadjusted,year_2021,-0.020285831291922476,0.006795524244211247,-2.985175324656213,0.002836735177339733,-0.0336054200715195,-0.00696624251232545
FE_unadjusted,year_2022,-0.029400015445702195,0.006501610355498307,-4.521958997564208,6.15342505261296e-06,-0.04214351737848922,-0.016656513512915173
FE_unadjusted,year_2023,-0.005797116814883578,0.005401118996487397,-1.0733177363160702,0.28313831558392133,-0.01638359718012757,0.004789363550360414
FE_unadjusted,year_2024,-0.021557316082658266,0.00540183369505745,-3.9907404225314638,6.604381422836703e-05,-0.03214519729509408,-0.01096943487022245
