model,variable,coef,std_err,t_stat,p_value,ci_low,ci_high
FE_clustered,mortgage_rate_lag2,-0.0020172435388045138,0.0014601422888421759,-1.3815390145326816,0.16712489280146325,-0.004879200048435764,0.0008447129708267372
FE_clustered,unemployment_rate_pct,0.012113778403440334,0.0008746297149758006,13.850179334206018,0.0,0.01039945766537254,0.013828099141508128
FE_clustered,cpi_inflation_yoy_pct,-0.0041507496578533165,0.0008213846332647609,-5.053356843742395,4.3698495222344036e-07,-0.005760707205173727,-0.002540792110532906
FE_clustered,beta,0.021522700482055335,0.0029451701096043868,7.307795367020887,2.7911006839076435e-13,0.015750010497274865,0.027295390466835805
FE_clustered,btm,-0.02318466400973916,0.004878134376674897,-4.7527727240557525,2.016939152804653e-06,-0.03274606671745139,-0.013623261302026936
FE_clustered,log_market_equity,0.011323370538386671,0.002625905613210998,4.312177285207246,1.6223622415045824e-05,0.006176455939148758,0.016470285137624587
FE_clustered,year_2005,-0.01194810216138022,0.0018406765745438024,-6.49114696553438,8.668488149510267e-11,-0.015555926100798216,-0.008340278221962224
FE_clustered,year_2006,0.00392672161619072,0.002885116284915861,1.361027157456579,0.17351663600508238,-0.0017282596796428205,0.009581702912024261
FE_clustered,year_2007,-0.03579509516442028,0.0033976445517508906,-10.53526777719411,0.0,-0.04245465911007329,-0.029135531218767274
FE_clustered,year_2008,-0.05715679042773883,0.004607407179435521,-12.405413327228748,0.0,-0.06618755343657086,-0.0481260274189068
FE_clustered,year_2009,-0.0471609426991399,0.006717004650733371,-7.021126998027434,2.2537527399890678e-12,-0.060326628901293054,-0.03399525649698675
FE_clustered,year_2010,-0.07493126735362393,0.00607522912480418,-12.333899810904525,0.0,-0.08683903940714195,-0.06302349530010591
FE_clustered,year_2011,-0.08693078348392054,0.005998310065902447,-14.492545821877545,0.0,-0.0986877900928509,-0.07517377687499018
FE_clustered,year_2012,-0.0702444018376608,0.006233189033203443,-11.269416259233818,0.0,-0.08246178370904286,-0.05802701996627874
FE_clustered,year_2013,-0.07632320202009048,0.006508429142933,-11.72682383781714,0.0,-0.08908006913874715,-0.0635663349014338
FE_clustered,year_2014,-0.047110428821112604,0.005851786475300809,-8.050606258440233,8.881784197001252e-16,-0.058580241403035214,-0.035640616239189994
FE_clustered,year_2015,-0.0580984066741802,0.00673052203555589,-8.632080300348013,0.0,-0.0712905876691913,-0.044906225679169104
FE_clustered,year_2016,-0.03461166966046659,0.006150880588467187,-5.627108047807491,1.8509806798405748e-08,-0.046667722604516966,-0.02255561671641621
FE_clustered,year_2017,-0.03451131634649681,0.0055629670209555145,-6.203760729929517,5.5941584697905e-10,-0.04541502744379828,-0.02360760524919534
FE_clustered,year_2018,-0.036750290325321906,0.005841851053345536,-6.2908639726916,3.2061575616637583e-10,-0.04820062895202925,-0.025299951698614563
FE_clustered,year_2019,-0.010388297941628358,0.0063142919044462485,-1.6452039435036845,0.09993957473845505,-0.02276464575220474,0.0019880498689480233
FE_clustered,year_2020,-0.08519427619473294,0.007597836007387246,-11.212965917124297,0.0,-0.10008643868233211,-0.07030211370713377
FE_clustered,year_2021,-0.020285831291922476,0.007208488917908707,-2.814158629213473,0.004894098287516302,-0.034414852785829404,-0.00615680979801555
FE_clustered,year_2022,-0.029400015445702195,0.008231507038446769,-3.5716443305440926,0.00035537286616649233,-0.04553420684114404,-0.013265824050260354
FE_clustered,year_2023,-0.005797116814883578,0.007202861996716377,-0.8048351915566831,0.4209219835767719,-0.0199151092441174,0.008320875614350246
FE_clustered,year_2024,-0.021557316082658266,0.007314610284790542,-2.947158528388443,0.003209870327948172,-0.035894341097235265,-0.0072202910680812665
