model,variable,coef,std_err,t_stat,p_value,ci_low,ci_high
FE_excluding_2020_03_to_05,mortgage_rate_lag2,0.0002446802245722109,0.0014471775164204735,0.16907409201423756,0.86573966784078,-0.0025918665770592627,0.0030812270262036844
FE_excluding_2020_03_to_05,unemployment_rate_pct,0.006059629612209457,0.000854083595281405,7.094890530256491,1.3273826482418372e-12,0.004385579218921364,0.00773368000549755
FE_excluding_2020_03_to_05,cpi_inflation_yoy_pct,-0.005856730944222411,0.0008275615025089973,-7.0770944835713125,1.5090151350705128e-12,-0.007478796590254185,-0.004234665298190637
FE_excluding_2020_03_to_05,beta,0.02235177063163677,0.0028129023565518193,7.946159446158865,1.9984014443252818e-15,0.01683832871297415,0.02786521255029939
FE_excluding_2020_03_to_05,btm,-0.021527838351633383,0.004629479659142415,-4.650163719613641,3.332885084805781e-06,-0.030601870784668358,-0.012453805918598407
FE_excluding_2020_03_to_05,log_market_equity,0.010160448145709305,0.002526632475816458,4.02133996256264,5.803000837545369e-05,0.0052081107946548135,0.015112785496763797
FE_excluding_2020_03_to_05,year_2005,-0.013062045437296487,0.0018609700143688908,-7.018944602246161,2.289946010591848e-12,-0.01670964808610411,-0.009414442788488865
FE_excluding_2020_03_to_05,year_2006,-0.0015324745456029624,0.0028018428161538608,-0.5469523617697503,0.5844161173440794,-0.007024239162353832,0.003959290071147906
FE_excluding_2020_03_to_05,year_2007,-0.04162402015340873,0.0033499938421045865,-12.425103482357157,0.0,-0.04819019065459968,-0.035057849652217775
FE_excluding_2020_03_to_05,year_2008,-0.05470973204407058,0.004528110536440729,-12.082243046803923,0.0,-0.06358507547211405,-0.0458343886160271
FE_excluding_2020_03_to_05,year_2009,-0.0299317912177179,0.0069694022583320255,-4.294742950435095,1.7552463267511698e-05,-0.04359219946815332,-0.016271382967282477
FE_excluding_2020_03_to_05,year_2010,-0.05022135188783054,0.005699218371296686,-8.811971855783478,0.0,-0.0613921304961709,-0.039050573279490186
FE_excluding_2020_03_to_05,year_2011,-0.06286151528298264,0.0055321147803821785,-11.363017178511965,0.0,-0.07370476174618432,-0.05201826881978098
FE_excluding_2020_03_to_05,year_2012,-0.05115473280634818,0.005832335674191549,-8.77088282704836,0.0,-0.06258642858309658,-0.03972303702959976
FE_excluding_2020_03_to_05,year_2013,-0.062449790711042806,0.006229701248379075,-10.02452416595287,0.0,-0.07466034466914828,-0.05023923675293733
FE_excluding_2020_03_to_05,year_2014,-0.04084821115585243,0.0057341669061797525,-7.123652280129834,1.078248601515952e-12,-0.052087490797217036,-0.029608931514487825
FE_excluding_2020_03_to_05,year_2015,-0.058514791620065475,0.006832985908074016,-8.563575632568337,0.0,-0.07190781638946693,-0.04512176685066402
FE_excluding_2020_03_to_05,year_2016,-0.03479140675960956,0.006273940632292267,-5.545383483633326,2.9613743901535372e-08,-0.04708867232117851,-0.022494141198040607
FE_excluding_2020_03_to_05,year_2017,-0.03699089721984407,0.0058268780554726635,-6.348321840217994,2.2123947118757314e-10,-0.04841189576646976,-0.025569898673218378
FE_excluding_2020_03_to_05,year_2018,-0.04266341391046468,0.006035048189702118,-7.069274771204518,1.5965007094109751e-12,-0.054492437265203954,-0.030834390555725406
FE_excluding_2020_03_to_05,year_2019,-0.017876786682427624,0.006623992973717312,-2.698793122722074,0.006963601535005193,-0.030860173910624462,-0.004893399454230785
FE_excluding_2020_03_to_05,year_2020,-0.04198886268919889,0.007527900494073784,-5.577765370604185,2.4602986981037134e-08,-0.0567439579191754,-0.027233767459222374
FE_excluding_2020_03_to_05,year_2021,-0.010269535542670726,0.00722149993169345,-1.4220779117645865,0.15501553386431222,-0.024424068971916842,0.0038849978865753906
FE_excluding_2020_03_to_05,year_2022,-0.028040989996338764,0.00817306995718251,-3.430900523700557,0.0006025084188714391,-0.04406065253497407,-0.01202132745770346
FE_excluding_2020_03_to_05,year_2023,-0.016260955704969663,0.007061321965998148,-2.302820319377847,0.021296747977249453,-0.030101531591945042,-0.0024203798179942854
FE_excluding_2020_03_to_05,year_2024,-0.03157611934752524,0.007100779385653498,-4.446852610478508,8.749542593333715e-06,-0.045494033927407376,-0.0176582047676431
