lag_variable,coef,std_err,p_value,within_r2,n_obs
mortgage_rate_lag1,0.010196755633986056,0.0014543094770484168,2.4156232569794156e-12,0.061608459623161305,26868
mortgage_rate_lag2,-0.0020172435388045138,0.0014601422888421759,0.16712489280146325,0.06017373466637277,26868
mortgage_rate_lag3,-0.011347818340449995,0.0018601262772006777,1.0715273113248713e-09,0.06181396774559911,26868
