,count,mean,std,min,5%,50%,95%,max
usdret,30989.0,0.010558427183839428,0.09698019586865937,-0.798,-0.1223,0.0105,0.138,2.3644
usdret_winsor,30989.0,0.009950273322791955,0.08139054528663507,-0.24771200000000002,-0.1223,0.0105,0.138,0.2785239999999998
mortgage_rate_30y_pct,30989.0,4.7673912517344865,1.2335281381524548,2.684,2.9625,4.456,6.805,7.62
unemployment_rate_pct,30989.0,5.622069121301107,1.9823877364104896,3.4,3.6,5.0,9.5,14.8
cpi_inflation_yoy_pct,29778.0,2.6084857878654097,1.9122498250914368,-1.958761003762277,0.00884296163417,2.1805652303711787,7.122856456533988,8.979361103105798
housing_permits_saar,30989.0,1355.2740327212882,431.4564596966696,513.0,587.0,1334.0,2114.0,2263.0
beta,28635.0,0.8021236343973885,0.5573832117401465,-0.822141334077448,0.08681655466855255,0.722509331471543,1.860894912864043,3.90268942006681
btm,30179.0,0.6744541300398272,0.7636404508951818,0.0001474423128388,0.12709246317699222,0.523237584552509,1.629665950431603,20.1703678768686
market_equity,30989.0,5179.115100229549,10795.550664646427,10.00458,76.78835000000001,1825.1678,22163.04439999995,133208.6
