Entity,Time,mortgage_rate_30y_pct,housing_permits_saar,unemployment_rate_pct,cpi_index,economic_policy_uncertainty_index,employment_population_ratio_pct,mortgage_rate_lag1,mortgage_rate_lag2,mortgage_rate_lag3,unemployment_rate_diff_12m,permits_growth_yoy_pct,cpi_inflation_yoy_pct
REIT,2000-01-01,8.21,1727.0,4.0,169.3,57.54838709677419,64.6,,,,,,
REIT,2000-02-01,8.325,1692.0,4.1,170.0,50.603793103448275,64.6,8.21,,,,,
REIT,2000-03-01,8.24,1651.0,4.0,171.0,64.99451612903225,64.6,8.325,8.21,,,,
REIT,2000-04-01,8.1525,1597.0,3.8,170.9,59.75833333333333,64.7,8.24,8.325,8.21,,,
REIT,2000-05-01,8.515,1543.0,4.0,171.2,77.52,64.4,8.1525,8.24,8.325,,,
REIT,2000-06-01,8.288,1572.0,4.0,172.2,67.236,64.5,8.515,8.1525,8.24,,,
REIT,2000-07-01,8.1475,1542.0,4.0,172.7,53.874516129032266,64.2,8.288,8.515,8.1525,,,
REIT,2000-08-01,8.0275,1552.0,4.1,172.7,47.63967741935484,64.2,8.1475,8.288,8.515,,,
REIT,2000-09-01,7.912000000000001,1570.0,3.9,173.6,67.98733333333334,64.2,8.0275,8.1475,8.288,,,
REIT,2000-10-01,7.795,1577.0,3.9,173.9,67.58645161290322,64.2,7.912000000000001,8.0275,8.1475,,,
REIT,2000-11-01,7.745,1614.0,3.9,174.2,138.21633333333332,64.3,7.795,7.912000000000001,8.0275,,,
REIT,2000-12-01,7.382,1543.0,3.9,174.6,124.63064516129033,64.4,7.745,7.795,7.912000000000001,,,
REIT,2001-01-01,7.0325,1699.0,4.2,175.6,123.21387096774194,64.4,7.382,7.745,7.795,0.20000000000000018,-1.621308627678053,3.7212049616065945
REIT,2001-02-01,7.05,1656.0,4.2,176.0,122.26107142857143,64.3,7.0325,7.382,7.745,0.10000000000000053,-2.127659574468088,3.529411764705892
REIT,2001-03-01,6.952,1659.0,4.3,176.1,124.46225806451612,64.3,7.05,7.0325,7.382,0.2999999999999998,0.48455481526348265,2.9824561403508643
REIT,2001-04-01,7.0775,1666.0,4.4,176.4,105.17433333333334,64.0,6.952,7.05,7.0325,0.6000000000000005,4.320601127113344,3.2182562902282053
REIT,2001-05-01,7.145,1665.0,4.3,177.3,96.31193548387097,63.8,7.0775,6.952,7.05,0.2999999999999998,7.9066753078418595,3.5630841121495394
REIT,2001-06-01,7.159999999999999,1626.0,4.5,177.7,70.57433333333333,63.7,7.145,7.0775,6.952,0.5,3.435114503816794,3.193960511033689
REIT,2001-07-01,7.1275,1598.0,4.6,177.4,91.89645161290322,63.7,7.159999999999999,7.145,7.0775,0.5999999999999996,3.6316472114137577,2.7214823393167498
REIT,2001-08-01,6.95,1615.0,4.9,177.4,80.83741935483872,63.2,7.1275,7.159999999999999,7.145,0.8000000000000007,4.059278350515472,2.7214823393167498
REIT,2001-09-01,6.8175,1565.0,5.0,178.1,234.57433333333333,63.5,6.95,7.1275,7.159999999999999,1.1,-0.31847133757961776,2.5921658986175045
REIT,2001-10-01,6.6175,1566.0,5.3,177.6,236.40612903225806,63.2,6.8175,6.95,7.1275,1.4,-0.6975269499048808,2.127659574468077
REIT,2001-11-01,6.6579999999999995,1651.0,5.5,177.5,154.38666666666668,63.0,6.6175,6.8175,6.95,1.6,2.2924411400247813,1.894374282433997
REIT,2001-12-01,7.0649999999999995,1680.0,5.7,177.4,127.57193548387097,62.9,6.6579999999999995,6.6175,6.8175,1.8000000000000003,8.878807517822418,1.603665521191311
REIT,2002-01-01,6.9975,1665.0,5.7,177.7,141.64290322580646,62.7,7.0649999999999995,6.6579999999999995,6.6175,1.5,-2.0011771630370823,1.1958997722095743
REIT,2002-02-01,6.8925,1787.0,5.7,178.0,86.75392857142857,63.0,6.9975,7.0649999999999995,6.6579999999999995,1.5,7.910628019323673,1.1363636363636465
REIT,2002-03-01,7.014,1691.0,5.7,178.5,94.4274193548387,62.8,6.8925,6.9975,7.0649999999999995,1.4000000000000004,1.9288728149487566,1.3628620102214661
REIT,2002-04-01,6.985,1669.0,5.9,179.3,74.52199999999999,62.7,7.014,6.8925,6.9975,1.5,0.18007202881151763,1.643990929705219
REIT,2002-05-01,6.806,1716.0,5.8,179.5,89.6558064516129,62.9,6.985,7.014,6.8925,1.5,3.063063063063054,1.2408347433727984
REIT,2002-06-01,6.65,1758.0,5.8,179.6,87.07466666666666,62.7,6.806,6.985,7.014,1.2999999999999998,8.11808118081181,1.0692177827799743
REIT,2002-07-01,6.485,1738.0,5.8,180.0,126.56032258064516,62.7,6.65,6.806,6.985,1.2000000000000002,8.760951188986233,1.465614430665152
REIT,2002-08-01,6.29,1695.0,5.7,180.5,114.96,62.7,6.485,6.65,6.806,0.7999999999999998,4.9535603715170184,1.747463359639223
REIT,2002-09-01,6.0925,1803.0,5.7,180.8,138.87133333333335,63.0,6.29,6.485,6.65,0.7000000000000002,15.207667731629403,1.516002245929271
REIT,2002-10-01,6.1125,1799.0,5.7,181.2,113.34322580645161,62.7,6.0925,6.29,6.485,0.40000000000000036,14.878671775223506,2.0270270270270174
REIT,2002-11-01,6.068,1771.0,5.9,181.5,136.54799999999997,62.5,6.1125,6.0925,6.29,0.40000000000000036,7.268322228952151,2.2535211267605604
REIT,2002-12-01,6.0475,1896.0,6.0,181.8,153.67129032258066,62.4,6.068,6.1125,6.0925,0.2999999999999998,12.857142857142856,2.4802705749718212
REIT,2003-01-01,5.9159999999999995,1808.0,5.8,182.6,184.77193548387098,62.5,6.0475,6.068,6.1125,0.09999999999999964,8.588588588588596,2.757456387169399
REIT,2003-02-01,5.8425,1854.0,5.9,183.6,192.12321428571428,62.5,5.9159999999999995,6.0475,6.068,0.20000000000000018,3.749300503637376,3.146067415730336
REIT,2003-03-01,5.745,1757.0,5.9,183.9,212.56935483870967,62.4,5.8425,5.9159999999999995,6.0475,0.20000000000000018,3.903015966883494,3.025210084033625
REIT,2003-04-01,5.8125,1803.0,6.0,183.2,135.47866666666667,62.4,5.745,5.8425,5.9159999999999995,0.09999999999999964,8.028759736369073,2.175125488008911
REIT,2003-05-01,5.484,1835.0,6.1,182.9,116.63935483870968,62.3,5.8125,5.745,5.8425,0.2999999999999998,6.93473193473193,1.8941504178273005
REIT,2003-06-01,5.23,1875.0,6.3,183.1,89.30199999999999,62.3,5.484,5.8125,5.745,0.5,6.655290102389078,1.948775055679297
REIT,2003-07-01,5.6325,1885.0,6.2,183.7,82.49387096774193,62.1,5.23,5.484,5.8125,0.40000000000000036,8.457997698504037,2.055555555555544
REIT,2003-08-01,6.264,1966.0,6.1,184.5,89.77354838709678,62.1,5.6325,5.23,5.484,0.39999999999999947,15.988200589970504,2.216066481994461
REIT,2003-09-01,6.1475,1961.0,6.1,185.1,96.15799999999999,62.0,6.264,5.6325,5.23,0.39999999999999947,8.763172490293947,2.378318584070782
REIT,2003-10-01,5.952,2012.0,6.0,184.9,65.80032258064516,62.1,6.1475,6.264,5.6325,0.2999999999999998,11.839911061700947,2.041942604856528
REIT,2003-11-01,5.9325,1918.0,5.8,185.0,61.467,62.3,5.952,6.1475,6.264,-0.10000000000000053,8.300395256916993,1.9283746556473913
REIT,2003-12-01,5.8759999999999994,1987.0,5.7,185.5,73.56870967741936,62.2,5.9325,5.952,6.1475,-0.2999999999999998,4.799578059071741,2.0352035203520247
REIT,2004-01-01,5.7125,1952.0,5.7,186.3,93.05129032258066,62.3,5.8759999999999994,5.9325,5.952,-0.09999999999999964,7.964601769911495,2.026286966046009
REIT,2004-02-01,5.635,1966.0,5.6,186.7,83.24655172413793,62.3,5.7125,5.8759999999999994,5.9325,-0.3000000000000007,6.040992448759441,1.688453159041381
REIT,2004-03-01,5.445,2066.0,5.8,187.1,63.193225806451615,62.2,5.635,5.7125,5.8759999999999994,-0.10000000000000053,17.586795674445078,1.7400761283306032
REIT,2004-04-01,5.83,2070.0,5.6,187.4,59.875,62.3,5.445,5.635,5.7125,-0.40000000000000036,14.808652246256248,2.2925764192139875
REIT,2004-05-01,6.27,2150.0,5.6,188.2,76.70161290322581,62.3,5.83,5.445,5.635,-0.5,17.166212534059945,2.8977583378895444
REIT,2004-06-01,6.2875,2020.0,5.6,188.9,79.36333333333333,62.4,6.27,5.83,5.445,-0.7000000000000002,7.733333333333325,3.1676679410158393
REIT,2004-07-01,6.056,2112.0,5.5,189.1,60.95,62.5,6.2875,6.27,5.83,-0.7000000000000002,12.042440318302393,2.939575394665228
REIT,2004-08-01,5.8675,2056.0,5.4,189.2,70.37935483870967,62.4,6.056,6.2875,6.27,-0.6999999999999993,4.577822990844349,2.5474254742547275
REIT,2004-09-01,5.754,2041.0,5.4,189.8,75.086,62.3,5.8675,6.056,6.2875,-0.6999999999999993,4.079551249362567,2.5391680172879516
REIT,2004-10-01,5.7225,2097.0,5.5,190.8,102.47483870967741,62.3,5.754,5.8675,6.056,-0.5,4.224652087475156,3.1909140075716547
REIT,2004-11-01,5.73,2079.0,5.4,191.7,72.18733333333333,62.5,5.7225,5.754,5.8675,-0.39999999999999947,8.394160583941602,3.621621621621607
REIT,2004-12-01,5.752,2082.0,5.4,191.7,40.12580645161291,62.4,5.73,5.7225,5.754,-0.2999999999999998,4.781077000503275,3.3423180592991875
REIT,2005-01-01,5.71,2139.0,5.3,191.6,66.99064516129032,62.4,5.752,5.73,5.7225,-0.40000000000000036,9.579918032786882,2.8448738593666034
REIT,2005-02-01,5.6275,2114.0,5.4,192.4,63.730357142857144,62.4,5.71,5.752,5.73,-0.1999999999999993,7.527975584944047,3.0530262453133394
REIT,2005-03-01,5.928,2062.0,5.2,193.1,55.76258064516129,62.4,5.6275,5.71,5.752,-0.5999999999999996,-0.19361084220715918,3.2068412613575736
REIT,2005-04-01,5.855,2150.0,5.2,193.7,66.458,62.7,5.928,5.6275,5.71,-0.39999999999999947,3.864734299516903,3.3617929562433257
