permno,ticker,comnam,rtype,ptype,psub,date,caldt,ym,usdret,usdprc,market_equity,assets,sales,net_income,book_equity,debt_at,cash_at,ocf_at,roe,btm,beta,Month,mortgage_rate_30y_pct,housing_permits_saar,unemployment_rate_pct,cpi_index,economic_policy_uncertainty_index,employment_population_ratio_pct,mortgage_rate_lag1,mortgage_rate_lag2,mortgage_rate_lag3,unemployment_rate_diff_12m,permits_growth_yoy_pct,cpi_inflation_yoy_pct,usdret_winsor
10952,UNII,UNI INVEST U S LTD,2,9,17,2003-10-31,2003-10-31,2003m10,-0.4846,11.52,166.24513,182.496,19.245,-0.447,2.917,0.7689648,0.021562116,0.0075344117,-0.1442218798151,0.01754637951226,-0.221685441200877,2003-10-01,5.952,2012.0,6.0,184.9,65.80032258064516,62.1,6.1475,6.264,5.6325,,,,-0.24771200000000002
10952,UNII,UNI INVEST U S LTD,2,9,17,2003-11-28,2003-11-28,2003m11,0.0217,11.77,169.85287,182.496,19.245,-0.447,2.917,0.7689648,0.021562116,0.0075344117,-0.1442218798151,0.0171736866703793,-0.276508471629005,2003-11-01,5.9325,1918.0,5.8,185.0,61.467,62.3,5.952,6.1475,6.264,,,,0.0217
10952,UNII,UNI INVEST U S LTD,2,9,17,2003-12-31,2003-12-31,2003m12,0.0552,12.42,179.23302,182.496,19.245,-0.447,2.917,0.7689648,0.021562116,0.0075344117,-0.1442218798151,0.0162749036250278,-0.271446088777396,2003-12-01,5.876,1987.0,5.7,185.5,73.56870967741936,62.2,5.9325,5.952,6.1475,,,,0.0552
10952,UNII,UNI INVEST U S LTD,2,9,17,2004-01-30,2004-01-30,2004m1,0.0628,13.2,190.4892,198.707,22.303,-0.615,2.75,0.7698068,0.027799726,0.0030799117,-0.1442218798151,0.0144365137511565,-0.239704196490386,2004-01-01,5.7125,1952.0,5.7,186.3,93.05129032258066,62.3,5.876,5.9325,5.952,-0.0999999999999996,7.964601769911495,2.026286966046009,0.0628
10952,UNII,UNI INVEST U S LTD,2,9,17,2004-02-27,2004-02-27,2004m2,0.0417,13.59,196.1173,198.707,22.303,-0.615,2.75,0.7698068,0.027799726,0.0030799117,-0.1442218798151,0.0140222205969023,-0.251075287365662,2004-02-01,5.635,1966.0,5.6,186.7,83.24655172413793,62.3,5.7125,5.876,5.9325,-0.3000000000000007,6.040992448759441,1.688453159041381,0.0417
10952,UNII,UNI INVEST U S LTD,2,9,17,2004-03-31,2004-03-31,2004m3,0.0442,14.19,204.77588,198.707,22.303,-0.615,2.75,0.7698068,0.027799726,0.0030799117,-0.1442218798151,0.0134293152965537,-0.256402443612834,2004-03-01,5.445,2066.0,5.8,187.1,63.193225806451615,62.2,5.635,5.7125,5.876,-0.1000000000000005,17.586795674445078,1.7400761283306032,0.0442
10952,UNII,UNI INVEST U S LTD,2,9,17,2004-04-30,2004-04-30,2004m4,-0.179,11.65,191.71239,341.307,26.506,-21.351,151.148,0.47459617,0.02096939,-0.014300908,-0.1442218798151,0.788410151905524,-0.20679482822001,2004-04-01,5.83,2070.0,5.6,187.4,59.875,62.3,5.445,5.635,5.7125,-0.4000000000000003,14.808652246256248,2.2925764192139875,-0.179
10952,UNII,UNI INVEST U S LTD,2,9,17,2004-05-28,2004-05-28,2004m5,-0.0202,11.19,184.14264,341.307,26.506,-21.351,151.148,0.47459617,0.02096939,-0.014300908,-0.1442218798151,0.82082017778514,-0.201723155028464,2004-05-01,6.27,2150.0,5.6,188.2,76.70161290322581,62.3,5.83,5.445,5.635,-0.5,17.166212534059945,2.8977583378895444,-0.0202
10952,UNII,UNI INVEST U S LTD,2,9,17,2004-06-30,2004-06-30,2004m6,0.0268,11.49,189.07944,341.307,26.506,-21.351,151.148,0.47459617,0.02096939,-0.014300908,-0.141258898562997,0.799388854724708,-0.204419802570149,2004-06-01,6.2875,2020.0,5.6,188.9,79.36333333333333,62.4,6.27,5.83,5.445,-0.7000000000000002,7.733333333333325,3.1676679410158397,0.0268
10952,UNII,UNI INVEST U S LTD,2,9,17,2004-07-30,2004-07-30,2004m7,0.0766,12.37,203.56071,388.691,32.497,-19.809,149.492,0.5225385,0.026476044,-0.005925015,-0.141258898562997,0.73438532382767,-0.216841127215725,2004-07-01,6.056,2112.0,5.5,189.1,60.95,62.5,6.2875,6.27,5.83,-0.7000000000000002,12.042440318302392,2.939575394665228,0.0766
