Month,usdret_mean,usdret_winsor_mean,mortgage_rate_30y_pct,unemployment_rate_pct,cpi_inflation_yoy_pct,housing_permits_saar,epu
2003-01-01,-0.02096634615384615,-0.02077703846153846,5.916,5.799999999999999,,1808.0,184.77193548387095
2003-02-01,-0.005828712871287127,-0.0020784554455445543,5.842499999999999,5.900000000000001,,1854.0,192.12321428571428
2003-03-01,0.014654,0.014654,5.745,5.9,,1757.0,212.56935483870967
2003-04-01,0.06156262626262627,0.06156262626262627,5.8125,6.0,,1803.0,135.47866666666667
2003-05-01,0.07615757575757576,0.07184719191919191,5.484000000000001,6.1,,1835.0,116.63935483870968
2003-06-01,0.024374257425742576,0.024374257425742576,5.23,6.3,,1875.0,89.30199999999999
2003-07-01,0.05336930693069307,0.0531220198019802,5.6325,6.2,,1885.0,82.49387096774193
2003-08-01,0.008523762376237623,0.008523762376237623,6.264,6.099999999999999,,1966.0,89.77354838709678
2003-09-01,0.03276372549019608,0.03276372549019608,6.1475,6.1,,1961.0,96.158
2003-10-01,0.02048137254901961,0.022803803921568628,5.952000000000001,6.0,,2012.0,65.80032258064516
2003-11-01,0.044474257425742576,0.044474257425742576,5.9325,5.8,,1918.0,61.46699999999999
2003-12-01,0.035107,0.035107,5.876,5.7,,1987.0,73.56870967741936
2004-01-01,0.05131666666666667,0.05125219607843137,5.7125,5.7,2.026286966046009,1952.0,93.05129032258064
2004-02-01,0.013490384615384616,0.013490384615384616,5.635,5.6,1.688453159041381,1966.0,83.24655172413794
2004-03-01,0.045296190476190476,0.045296190476190476,5.445,5.8,1.7400761283306032,2066.0,63.193225806451615
2004-04-01,-0.12524380952380954,-0.12524380952380954,5.83,5.6,2.2925764192139875,2070.0,59.875
2004-05-01,0.0504625,0.0504625,6.27,5.6,2.8977583378895444,2150.0,76.70161290322581
2004-06-01,0.03844571428571429,0.03844571428571429,6.2875,5.6,3.1676679410158397,2020.0,79.36333333333333
2004-07-01,0.007084259259259259,0.007084259259259259,6.056,5.5,2.939575394665228,2112.0,60.95
2004-08-01,0.062033018867924526,0.06124833962264151,5.8675,5.400000000000001,2.5474254742547275,2056.0,70.37935483870967
2004-09-01,0.007388181818181818,0.007388181818181818,5.754,5.4,2.539168017287952,2041.0,75.086
2004-10-01,0.04073761467889909,0.04073761467889909,5.7225,5.5,3.1909140075716547,2097.0,102.4748387096774
